pincode,weight,mode
636005,1.02,AR
636005,0.5,SF
533432,0.21,AR
600034,0.55,AR
641653,0.59,AR
577427,0.964,AR
560037,0.6,AR
700091,0.729,AR
560010,0.7,AR
670001,0.6,AR
282003,0.603,AR
560067,0.65,AR
625014,0.6,AR
400070,4.447,AR
590001,0.663,AR
600116,1.2,AR
518301,3.187,AR
624001,1.92,AR
411051,0.602,AR
503185,0.743,AR
502220,0.73,AR
500075,0.84,AR
560072,1.15,AR
400091,0.837,AR
421302,0.644,AR
422002,0.715,AR
584128,0.927,AR
431001,0.609,AR
442310,0.665,AR
603209,0.55,AR
522503,0.5,AR
395010,1.906,AR
695523,4.3,AR
636454,0.8,AR
600083,0.75,AR
764001,0.853,AR
560079,1.0,AR
691536,0.55,AR
560016,0.55,AR
560084,0.5,AR
560016,0.6,AR
411058,1.736,AR
560092,0.6,AR
625022,1.2,AR
141003,2.214,AR
580001,1.051,AR
788005,0.542,AR
570001,0.715,AR
517501,2.4,AR
600045,0.55,AR
570004,1.288,AR
600001,2.05,AR
641652,3.4,AR
685607,0.52,AR
560086,0.75,AR
395008,1.088,AR
626101,0.5,AR
560032,1.95,AR
600045,1.85,AR
680306,0.65,AR
500055,0.619,AR
642126,0.55,AR
560077,0.95,AR
509203,0.39,AR
560087,0.76,AR
576104,0.509,AR
560077,0.6,AR
574201,0.739,AR
621211,0.8,AR
534211,0.54,AR
524002,0.782,AR
574142,0.991,AR
395008,1.699,AR
625001,0.57,AR
600066,0.55,AR
501510,1.968,AR
600082,1.15,AR
581102,0.546,AR
600006,0.6,AR
678010,0.57,AR
629160,0.56,AR
515701,1.17,AR
531001,0.45,AR
686564,0.55,AR
563101,0.55,AR
600078,0.55,AR
641687,0.5,AR
600078,0.65,AR
631002,0.258,AR
603202,0.65,AR
600059,0.65,AR
600094,0.65,AR
638111,0.95,AR
686564,0.5,AR
562157,1.02,AR
585301,1.359,AR
689692,0.5,AR
560037,1.02,AR
395017,0.606,AR
560091,2.6,AR
110018,0.763,AR
533003,0.8,AR
631502,0.55,AR
600057,0.69,AR
639002,0.55,AR
570011,2.363,AR
627003,0.61,AR
638501,0.75,AR
600119,0.51,AR
560068,0.939,AR
560103,0.588,AR
631502,0.89,AR
613004,0.58,AR
576108,0.82,AR
679503,1.2,AR
673001,0.6,AR
673612,0.6,AR
700092,0.616,AR
401209,1.099,AR
682020,0.55,AR
560072,1.73,AR
500035,0.621,AR
395010,0.823,AR
421306,0.706,AR
584115,0.737,AR
560078,0.55,AR
682030,0.55,AR
560083,1.77,AR
680004,0.55,AR
577412,0.709,AR
518302,2.102,AR
502230,2.8,AR
638315,0.55,AR
516309,0.6,AR
560018,1.0,AR
636454,0.45,AR
422003,0.627,AR
600100,0.55,AR
575002,0.555,AR
600001,0.8,AR
695009,0.55,AR
517640,0.85,AR
560002,1.8,AR
626001,1.29,AR
600102,1.27,AR
583132,0.862,AR
533255,0.85,AR
600004,2.55,AR
670001,1.16,AR
586101,1.049,AR
571213,0.703,AR
585105,0.747,AR
395010,0.721,AR
620020,0.55,AR
560072,1.15,AR
533124,0.95,AR
600106,1.55,AR
627011,0.6,AR
641103,0.55,AR
600012,0.62,AR
637209,0.55,AR
600021,0.56,AR
600052,0.75,AR
632301,1.28,AR
604407,0.65,AR
609117,0.6,AR
743263,0.644,AR
620052,0.75,AR
602105,1.71,AR
562101,0.95,AR
416012,0.643,AR
532001,0.85,AR
560097,0.77,AR
577522,0.86,AR
585101,0.983,AR
642006,0.98,AR
560078,0.78,AR
560072,1.65,AR
560087,3.0,AR
401209,0.737,AR
530045,0.9,AR
600106,0.5,AR
603202,0.65,AR
505001,0.619,AR
500011,1.384,AR
560064,0.6,AR
574201,0.656,AR
600034,1.02,AR
534275,0.72,AR
688521,0.55,AR
700016,3.219,AR
641025,0.56,AR
580001,0.562,AR
637408,0.5,AR
560056,0.65,AR
765017,0.731,AR
854305,0.582,AR
560100,0.6,AR
560045,1.55,AR
581343,0.69,AR
534201,0.65,AR
505001,2.739,AR
560004,1.16,AR
500076,0.563,AR
600122,1.17,AR
395010,3.112,SF
500035,6.152,SF
518222,16.9,SF
587116,5.976,SF
600001,24.0,SF
602105,6.2,SF
670582,4.4,SF
400033,7.038,AC
560064,7.4,SF
560064,6.8,SF
575001,7.893,SF
673012,16.6,SF
626130,8.7,SF
600034,0.7,SF
695002,1.34,SF
560069,0.52,SF
641006,0.65,SF
584111,0.6,SF
560068,0.78,SF
