pincode,weight,mode,price
636005,1.02,AR,45
636005,0.5,SF,30
533432,0.21,AR,40
600034,0.55,AR,30
641653,0.59,AR,30
577427,0.964,AR,40
560037,0.6,AR,40
700091,0.729,AR,120
560010,0.7,AR,40
670001,0.6,AR,40
282003,0.603,AR,120
560067,0.65,AR,40
625014,0.6,AR,30
400070,4.447,AR,540
590001,0.663,AR,40
600116,1.2,AR,45
518301,3.187,AR,140
624001,1.92,AR,60
411051,0.602,AR,120
503185,0.743,AR,40
502220,0.73,AR,40
500075,0.84,AR,40
560072,1.15,AR,60
400091,0.837,AR,120
421302,0.644,AR,120
422002,0.715,AR,120
584128,0.927,AR,40
431001,0.609,AR,120
442310,0.665,AR,0
603209,0.55,AR,30
522503,0.5,AR,40
395010,1.906,AR,240
695523,4.3,AR,180
636454,0.8,AR,30
600083,0.75,AR,30
764001,0.853,AR,120
560079,1.0,AR,40
691536,0.55,AR,40
560016,0.55,AR,40
560084,0.5,AR,40
560016,0.6,AR,40
411058,1.736,AR,240
560092,0.6,AR,40
625022,1.2,AR,45
141003,2.214,AR,300
580001,1.051,AR,60
788005,0.542,AR,120
570001,0.715,AR,40
517501,2.4,AR,100
600045,0.55,AR,30
570004,1.288,AR,60
600001,2.05,AR,75
641652,3.4,AR,105
685607,0.52,AR,40
560086,0.75,AR,40
395008,1.088,AR,180
626101,0.5,AR,30
560032,1.95,AR,80
600045,1.85,AR,60
680306,0.65,AR,40
500055,0.619,AR,40
642126,0.55,AR,30
560077,0.95,AR,40
509203,0.39,AR,40
560087,0.76,AR,40
576104,0.509,AR,40
560077,0.6,AR,40
574201,0.739,AR,40
621211,0.8,AR,30
534211,0.54,AR,40
524002,0.782,AR,40
574142,0.991,AR,40
395008,1.699,AR,240
625001,0.57,AR,30
600066,0.55,AR,30
501510,1.968,AR,80
600082,1.15,AR,45
581102,0.546,AR,40
600006,0.6,AR,30
678010,0.57,AR,40
629160,0.56,AR,30
515701,1.17,AR,60
531001,0.45,AR,40
686564,0.55,AR,40
563101,0.55,AR,40
600078,0.55,AR,30
641687,0.5,AR,30
600078,0.65,AR,30
631002,0.258,AR,30
603202,0.65,AR,30
600059,0.65,AR,30
600094,0.65,AR,30
638111,0.95,AR,30
686564,0.5,AR,40
562157,1.02,AR,60
585301,1.359,AR,60
689692,0.5,AR,40
560037,1.02,AR,60
395017,0.606,AR,120
560091,2.6,AR,120
110018,0.763,AR,0
533003,0.8,AR,40
631502,0.55,AR,30
600057,0.69,AR,30
639002,0.55,AR,30
570011,2.363,AR,100
627003,0.61,AR,30
638501,0.75,AR,30
600119,0.51,AR,30
560068,0.939,AR,40
560103,0.588,AR,40
631502,0.89,AR,30
613004,0.58,AR,30
576108,0.82,AR,40
679503,1.2,AR,60
673001,0.6,AR,40
673612,0.6,AR,40
700092,0.616,AR,120
401209,1.099,AR,180
682020,0.55,AR,40
560072,1.73,AR,80
500035,0.621,AR,40
395010,0.823,AR,120
421306,0.706,AR,120
584115,0.737,AR,40
560078,0.55,AR,40
682030,0.55,AR,40
560083,1.77,AR,80
680004,0.55,AR,40
577412,0.709,AR,40
518302,2.102,AR,100
502230,2.8,AR,0
638315,0.55,AR,30
516309,0.6,AR,40
560018,1.0,AR,40
636454,0.45,AR,30
422003,0.627,AR,120
600100,0.55,AR,30
575002,0.555,AR,40
600001,0.8,AR,30
695009,0.55,AR,40
517640,0.85,AR,40
560002,1.8,AR,80
626001,1.29,AR,45
600102,1.27,AR,45
583132,0.862,AR,40
533255,0.85,AR,40
600004,2.55,AR,90
670001,1.16,AR,60
586101,1.049,AR,60
571213,0.703,AR,40
585105,0.747,AR,40
395010,0.721,AR,120
620020,0.55,AR,30
560072,1.15,AR,60
533124,0.95,AR,40
600106,1.55,AR,60
627011,0.6,AR,30
641103,0.55,AR,30
600012,0.62,AR,30
637209,0.55,AR,30
600021,0.56,AR,30
600052,0.75,AR,30
632301,1.28,AR,45
604407,0.65,AR,30
609117,0.6,AR,30
743263,0.644,AR,120
620052,0.75,AR,0
602105,1.71,AR,60
562101,0.95,AR,40
416012,0.643,AR,120
532001,0.85,AR,40
560097,0.77,AR,40
577522,0.86,AR,40
585101,0.983,AR,40
642006,0.98,AR,30
560078,0.78,AR,40
560072,1.65,AR,80
560087,3.0,AR,120
401209,0.737,AR,120
530045,0.9,AR,40
600106,0.5,AR,30
603202,0.65,AR,30
505001,0.619,AR,40
500011,1.384,AR,60
560064,0.6,AR,40
574201,0.656,AR,40
600034,1.02,AR,45
534275,0.72,AR,40
688521,0.55,AR,40
700016,3.219,AR,420
641025,0.56,AR,30
580001,0.562,AR,40
637408,0.5,AR,30
560056,0.65,AR,40
765017,0.731,AR,120
854305,0.582,AR,120
560100,0.6,AR,40
560045,1.55,AR,80
581343,0.69,AR,40
534201,0.65,AR,40
505001,2.739,AR,120
560004,1.16,AR,60
500076,0.563,AR,40
600122,1.17,AR,45
395010,3.112,SF,280
500035,6.152,SF,227.5
518222,16.9,SF,459.0
587116,5.976,SF,210.0
600001,24.0,SF,336
602105,6.2,SF,143
670582,4.4,SF,180
400033,7.038,AC,862.5
560064,7.4,SF,262.5
560064,6.8,SF,245.0
575001,7.893,SF,280.0
673012,16.6,SF,459.0
626130,8.7,SF,198
600034,0.7,SF,30
695002,1.34,SF,60
560069,0.52,SF,0
641006,0.65,SF,30
584111,0.6,SF,40
560068,0.78,SF,40
Total,,,16987.5
